date.month,date.year,date.day,name,links.download.url,links.notes.url,sdks.tvOS[1].number,sdks.tvOS[1].build,sdks.tvOS[1].release.gm,sdks.iOS[1].number,sdks.iOS[1].build,sdks.iOS[1].release.gm,sdks.macOS[1].number,sdks.macOS[1].build,sdks.macOS[1].release.gm,sdks.watchOS[1].number,sdks.watchOS[1].build,sdks.watchOS[1].release.gm,compilers.clang[1].number,compilers.clang[1].build,compilers.clang[1].release.gm,compilers.swift[1].number,compilers.swift[1].build,compilers.swift[1].release.gm,version.number,version.build,version.release.gm,requires,version.release.beta,version.release.gmSeed,compilers.llvm[1].build,compilers.llvm[1].release.gm,sdks.macOS[2].build,sdks.macOS[2].release.gm,version.release.dp,compilers.llvm_gcc[1].number,compilers.llvm_gcc[1].build,compilers.llvm_gcc[1].release.gm,compilers.gcc[1].number,compilers.gcc[1].build,compilers.gcc[1].release.gm,compilers.gcc[2].number,compilers.gcc[2].build,compilers.gcc[2].release.gm,sdks.iOS[2].build,sdks.iOS[2].release.gm,sdks.macOS[3].build,sdks.macOS[3].release.gm,sdks.macOS[2].number,sdks.macOS[3].number
1,2018,24,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3_beta/Xcode_9.3_beta.xip,,,15L5164c,TRUE,,15E5167d,TRUE,,17E139g,TRUE,,15T5165c,TRUE,9.1.0,902.0.30,TRUE,4.1,902.0.34,TRUE,9.3,9Q98q,,10.13.2,1,,,,,,,,,,,,,,,,,,,,,
12,2017,4,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.2/Xcode_9.2.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW936,,15K104,TRUE,,15C107,TRUE,,17C76,TRUE,,15S100,TRUE,9.0.0,900.0.39.2,TRUE,4.0.3,900.0.74.1,TRUE,9.2,9C40b,TRUE,10.12.6,,,,,,,,,,,,,,,,,,,,,,
11,2017,6,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.2_Beta_2/Xcode_9.2_Beta_2.xip,,,15K5090c,TRUE,,15C5097c,TRUE,,17C67a,TRUE,,15S5090c,TRUE,9.0.0,900.0.39,TRUE,4.0.3,900.0.72,TRUE,9.2,9C34b,,10.12.6,2,,,,,,,,,,,,,,,,,,,,,
10,2017,31,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.2_Beta/Xcode_9.2_Beta.xip,,,15K5085b,TRUE,,15C5092b,TRUE,,17C60c,TRUE,,15S5085b,TRUE,9.0.0,900.0.39,TRUE,4.0.3,900.0.71,TRUE,9.2,9C32c,,10.12.6,1,,,,,,,,,,,,,,,,,,,,,
10,2017,31,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.1/Xcode_9.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW881,,15J580,TRUE,,15B87,TRUE,,17B41,TRUE,,15R844,TRUE,9.0.0,900.0.38,TRUE,4.0.2,900.0.69.2,TRUE,9.1,9B55,TRUE,10.12.6,,,,,,,,,,,,,,,,,,,,,,
10,2017,15,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.0.1/Xcode_9.0.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW922,,15J380,TRUE,,15A372,TRUE,,17A360,TRUE,,15R372,TRUE,9.0.0,900.0.38,TRUE,4,900.0.65.2,TRUE,9.0.1,9A1004,TRUE,10.12.6,,,,,,,,,,,,,,,,,,,,,,
10,2017,9,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.1_beta_2/Xcode_9.1_beta2.xip,,,15J5571b,TRUE,,15B5078b,TRUE,,17B35a,TRUE,,15R5835b,TRUE,9.0.0,900.0.38,TRUE,4.0.1,900.0.68,TRUE,9.1,9B46,,10.12.6,2,,,,,,,,,,,,,,,,,,,,,
9,2017,27,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.1_beta/Xcode_9.1_beta.xip,,,15J5559d,TRUE,,15B5066e,TRUE,,17A360,TRUE,,15R5823b,TRUE,9.0.0,900.0.38,TRUE,4.0.1,900.0.66,TRUE,9.1,9B37,,10.12.6,1,,,,,,,,,,,,,,,,,,,,,
9,2017,12,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9/Xcode_9.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW878,,15J380,TRUE,,15A372,TRUE,,17A360,TRUE,,15R372,TRUE,9.0.0,900.0.37,TRUE,4,900.0.65,TRUE,9,9A235,TRUE,10.12.6,,,,,,,,,,,,,,,,,,,,,,
8,2017,21,Xcode,,,,15J5368a,TRUE,,15A5361a,TRUE,,17A350a,TRUE,,15R5363a,TRUE,,,,,,,9,9M214v,,10.12.6,6,,,,,,,,,,,,,,,,,,,,,
